Sample Date,Sample Time,Depth,total_phosphorus,pH,temperature,dissolved_reactive_phosphorus,total_dissolved_phosphorus,electrical_conductance,nitrate_nitrogen,dissolved_oxygen,nitrite_nitrogen,oxygen_saturation,hardness,biochemical_oxygen_demand,total_suspended_solids,bicarbonate,dissolved_organic_carbon,chloride,total_organic_carbon,chemical_oxygen_demand,cadmium,lead,chromium,total_dissolved_solids,arsenic,calcium,turbidity,magnesium,mercury,sodium,alkalinity,potassium,zinc,iron,copper,manganese,cobalt,silica,barium,selenium,boron,uranium,fluoride,strontium,lithium,sulfate,total_solids,ammonium_nitrogen,oxidized_nitrogen,nickel,ammonia_nitrogen,Water_Quality_Class
2015-05-08,,7.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08,,20.0,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19,,7.0,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-04,12:00,0.3,,7.9,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2014-06-12,,1.0,,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,,0.0,,,,,,,,,,,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,,0.0,0.016,,,,,,3.160276,,0.00304878,,,,,305.0,,9.2,,,,,,,,96.2,,6.1,,5.8,,,,,,,,,,,,,,,0.0008,,,0.0077649,14.0,,,Moderate
1996-05-21,00:00,0.3,,8.45,26.0,0.0,,189.0,0.0,5.9,0.0,72.7228,107.447,1.9,,99.43,,,,,,,,,,,,,,,96.5606,,,,,,,,,,,,,,,,,0.0,0.0,,,Good
2019-12-23,00:00,0.3,,7.4,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2012-08-29,12:00,0.3,,8.1,16.2,,,,,,,,,,6.0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2016-03-08,12:00,0.5,0.2218,8.5,22.7,,,54000.0,0.02,11.7,0.021,133.5,,,107.69,,0.5,,0.5,,0.003,0.005,0.005,43200.0,0.01,,17.0,,0.0005,,,,,,,,,,,,,,,,,,,,,0.001,0.066973,Poor
2020-09-02,00:00,0.3,,7.8,,,,153.0,0.7,6.1,,,,1.3,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,0.2,,,,Moderate
2018-11-12,12:00,0.5,0.129,8.3,31.4,,,47428.0,0.02,5.2,0.021,55.6,,,10.0,,5.509,,5.783,,0.003,0.005,0.04568,37942.4,0.01,,5.09,,0.0005,,,,,,,,,,,,,,,,,,,,,0.00348,0.093,Poor
2020-11-25,,0.0,0.024,,16.3,,,,0.0677202,3.1,0.00152439,,182.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07143708,,,,Good
2015-03-17,,1.0,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-02,00:00,0.3,,7.11,,0.32,,974.0,0.0,8.1,0.14,,483.09,11.3,,219.6,,,,,,,,,,,,,,,246.0,,,,,,,,,,,,,,,,,0.0,0.14,,,Moderate
2022-03-27,12:00,0.0,0.007,5.0,,,,14.6,0.01700002754,,,,,,,,,0.61,12.6,,,,,,,1.16,,0.16,,0.69,,0.13,,,,,,,,,,,,,,,,0.027254799,,,,Moderate
2012-08-21,12:00,0.3,,7.9,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2018-07-19,,0.5,0.04,,,,,,0.01354404,15.2,0.00609756,183.0,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077649,,,,Moderate
2015-08-20,12:00,0.3,3.958742,7.3,22.8,,,828.0,0.219448,4.42,0.073829,62.6,172.22,40.12,34.0,,19.665,,21.33,85.38,0.0002,0.00154,0.00088,529.92,0.00139,,10.0,,0.0003439999999999,,,,,,,,,,,,,,,,,,,,,0.0002,9.817038,Poor
2013-05-02,00:00,0.3,0.35,6.15,26.5,,,182.5,0.19,,0.01,,40.0,1.0,,44.0,,,,6.1,,,,,,,,,,,19.6,,,,,,,,,,,,,,,,,,0.2,,,Moderate
2022-07-04,12:00,0.3,0.14,8.0,30.0,,,419.0,0.799412129261,5.9,,78.0,192.0,2.0,,,3.1,27.0,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10006314433,,,,Moderate
2017-08-31,,1.0,,,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,,0.0,,,,,,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18,12:00,0.3,0.1311,7.7,28.1,,,330.0,0.124,4.0,0.005,50.0,463.83,2.87,15.0,,0.85,,0.947,12.9,0.0002,0.00154,0.00088,211.2,0.00139,,0.28,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0002,0.085,Moderate
2013-07-01,,0.3,,,,,,842.0,17.2009308,6.9,0.000609756,,,,,,,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077649,,,,Moderate
2004-10-04,00:00,0.3,,7.7,,,,220.0,,,,,169.5,,,107.0,,,,,,,,,,,,,,,87.705,,,,,,,,,,,,,,,,,,,,,Moderate
2016-05-17,,0.5,0.09,,,,,,0.13769774,8.73,0.03353658,57.8,,,15.0,,,380.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,0.7531953,,,,Moderate
2011-06-01,,0.3,0.18,,,0.032,0.04,,0.02,8.1,0.001,104.0,,,,162.0,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,Moderate
2013-03-15,,1.0,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08,12:00,0.4,0.337,7.4,,,,237.0,1.20993424,9.3,0.0325304826,,,3.4,,,,20.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2020-02-26,,0.5,0.18,,,,,,0.24379272,,0.009451218,81.0,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20344038,,,0.0011,Moderate
2010-05-13,12:00,0.3,,8.1,11.5,,,,,,,,294.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2009-01-14,12:00,0.3,,7.6,1.6,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
2018-10-25,12:00,0.3,,8.44,17.1,,,831.0,,6.7,,,,,,206.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2002-02-10,13:30,0.3,0.02,7.845000000000001,12.5,,0.008,239.0,,12.7,,,115.485,,11.6,115.317,2.79,,3.079,,0.0001,0.0005,0.0002,132.262,,,8.1,,5e-06,,94.6,,0.0019,0.378,0.001,0.0314,0.0002,4.52,0.0796,,,,,0.346,0.0156,,,,0.12,0.0015,0.0025,Good
2012-04-16,12:00,0.3,,8.3,11.2,,,,,,,,,,3.0,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2013-08-09,12:00,0.5,0.06,7.5,20.6,,,,,,,54.0,,,,,,61.0,3.8,,,,,,,,,,,,,,,,0.0015,,,,,,,,,,,,,0.06056622,,,,Moderate
2022-01-10,12:00,0.0,0.009,7.9,8.7,,,484.0,0.317785164924,10.7,0.00200304846,91.92,258.0,0.6,2.0,,0.68,,0.73,,,,,,,,,,,,,,0.00155,,,,,,,,,,,,,,,0.0119734758,,,8.2245e-05,Good
2018-07-19,,0.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-17,12:00,0.3,,7.25,11.7,,,,,,,,,,10.0,,,13.5,,,0.0005,0.002,0.002,,0.003,,,,2e-05,,,,0.05,0.05,0.012,0.006,,,,,,,,,,,,,,0.014,,Moderate
2015-02-24,12:00,0.0,0.208,8.2,,,,462.0,5.64335,,0.0152439,102.2,,2.3,,,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0465894,5.663,,,Poor
2019-01-24,,13.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-01,00:00,0.3,,7.0,,0.17604,,496.0,0.3503,,,,186.178,,,126.0,,,,,,,,,,,,,,,103.341,,,,,,,,,,,,,,,,,0.0,0.3503,,,Good
2015-07-03,,4.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-18,,0.3,1.41,,,0.011,,,0.6074999999999999,10.8,0.015,79.0,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,Moderate
2011-10-10,12:00,0.5,0.68,7.2,13.2,,,,0.7449222,6.3,0.05182926,,,,,,,57.0,20.0,,2e-05,0.00057,0.0005,,0.0013,,,,1e-05,,,,0.039,,0.0052,,,,,,,,,,,,,2.407119,,0.0037,0.0082245,Moderate
2018-11-12,12:00,0.0,,7.68,12.6,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2012-12-17,,3.0,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-16,12:00,0.0,0.092,7.9,,,,2200.0,2.708808,6.6,0.24695118,69.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.17715,,,,Poor
1974-02-06,,0.3,0.16,,,0.081,,,0.85,10.9,0.02,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2014-07-16,12:00,0.3,0.031,7.8,28.6,,,811.0,0.347,8.7,0.006,105.1,439.0,3.9,13.0,,2.089,,5.016,10.0,,,,519.04,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,0.037,Moderate
2018-04-19,,0.5,0.01,,,,,,0.083295846,11.6,0.00304878,110.0,,,14.0,150.0,8.1,125.0,,,2e-05,3e-05,0.000103,14.0,0.000455,63.0,,14.0,3.96e-07,67.0,,8.8,0.002,2e-07,0.0018,8.29e-05,6.76e-05,,0.03,0.00011,0.109,0.00058,,0.378,0.00952,,,0.009395529,,0.00175,,Good
2015-05-04,12:00,0.0,0.042,8.29,10.6,,,670.0,3.97731118364,11.54,0.03004115373,,,2.2,3.5,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02700321624,,,,Moderate
1996-06-18,,0.3,0.22,,,0.04,0.05,,0.6395,8.5,0.13,,,,,204.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,Moderate
2013-03-26,12:00,0.0,,7.78,,,,678.0,,,,107.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
1996-12-02,00:00,0.3,,8.01,12.0,0.82672,,142.0,0.14012,8.02,0.0,74.4177,99.545,1.04,,53.68,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,0.0,0.14012,,,Good
2003-01-10,00:00,0.3,,7.82,,0.186012,,450.0,2.52216,,0.0276,,154.281,,,155.55,,,,,,,,,,,,,,,127.5,,,,,,,,,,,,,,,,,0.0,2.54976,,,Moderate
2013-06-20,12:00,0.3,0.001,7.2,30.0,,,605.0,0.3292,3.6,0.005,39.6,198.14,3.75,70.0,,2.3726,,3.02,15.78,0.0002,0.00154,0.00088,387.2,0.00139,,2.19,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0002,0.003,Moderate
2015-12-10,,0.5,0.1,,,,,,0.6546286,12.0,0.003658536,101.0,,,8.7,,11.0,37.0,,,0.0001,0.001,0.001,8.7,,,,,,,,,0.014,,0.001,,,,,,,,,,,,,0.06367218,,0.0026,0.0016,Moderate
2022-03-14,12:00,3.0,,7.72,11.93,,,246.7,,9.66,,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2010-12-02,12:00,0.3,,7.7,3.2,,,,,,,,,,6.0,,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2015-01-13,12:00,0.0,,7.8,4.0,,,343.0,,,0.004006968,90.0,156.0,1.0,,161.04,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019966885714,1.4,,,Moderate
2022-11-01,,0.5,0.15,,,,,,0.2708808,6.7,0.014634144,64.0,,,,,13.0,79.0,,,3e-06,4.5e-05,0.00065,,0.00056,,,,8e-06,,,,0.0016,,0.00084,,0.00027,,0.045,8.1e-05,0.035,7.6e-05,,,,,,0.4115397,,0.0015,0.01,Moderate
2013-02-19,12:00,0.3,,7.8,0.7,,0.024,269.0,,10.7,,,149.0,1.6,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2014-10-09,12:00,0.5,0.53,8.4,23.7,,,353.0,0.27,6.3,0.212,101.8,82.0,3.0,6.0,,10.01,,10.54,25.0,3e-05,0.0009,0.0062,225.92,0.0029,,38.0,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0022,6.1,Moderate
2020-11-03,00:00,0.3,,7.9,,,,510.0,0.18,8.7,,,,1.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2020-01-15,12:00,0.0,0.013,7.8,5.3,,,263.2095,0.419697293904,11.9,0.004005487164,94.0,,,,151.28,8.9,,,,2e-05,0.0002,0.001,,0.001,,,,2e-05,,,,0.0087,0.086,0.001,0.005,0.001,0.54580625,0.031,0.001,0.01,0.0002,0.2,0.13,,,,0.031022949672,0.42,0.001,,Moderate
2019-05-16,12:00,0.15,0.058,8.45,11.3,,,430.0,0.8400013608,9.83,0.03799999392,94.4,335.0,1.1,,,,11.4,,10.0,,,,,,88.4,,27.8,,7.8,,24.6,,,,,,,,,,,,,,,,0.019878144,,,,Moderate
2013-08-13,11:50,0.3,0.0039,7.665,14.69,,,28.2,0.03,,,,12.4,,,,2.7,0.28,,,2e-06,5e-06,7.000000000000001e-05,,7.000000000000001e-05,,0.1,,,,10.3,,0.0005,0.0078,0.00043,0.00083,1e-05,,0.0121,4e-05,0.0053,6.26e-05,,0.0276,0.0004799999999999,2.45,,,,0.0001,,Good
2011-10-01,00:00,0.3,0.08,8.12,31.4,,,682.0,1.83,7.4,0.03,99.6633,132.717,1.3,68.0,137.0,,,,,,,,216.0,,,5.0,,,,112.295,,,,,,,,,,,,,,,,,0.37,1.86,,,Moderate
2020-08-12,,19.0,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-13,,6.0,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-07,12:00,0.3,,7.4,19.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
2020-10-14,,0.5,0.19,,,,,,0.052144554,7.9,0.008993901,70.0,,,,160.0,,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16461588,,0.0037,0.002,Moderate
2021-08-09,,0.5,0.09,,,,,,0.0112867,,0.00609756,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04969536,,,,Moderate
2015-12-01,12:00,0.0,,7.79,17.5,,,932.0,93.03290014872,5.0,0.05006858955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02001480624,,,,Moderate
2020-11-24,00:00,0.3,,7.5,,,,,,7.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
2014-01-22,12:00,0.0,0.035,7.9,,,,180.0,1.2641104,,0.00609756,100.0,,3.0,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388245,1.271,,,Moderate
2013-04-17,12:00,0.0,0.02,8.2,,,,497.0,3.273143,,0.00609756,101.7,185.0,0.5,,276.0,1.4,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388245,3.276,,,Moderate
2022-08-18,12:00,0.0,0.035,8.2,,,,242.0,0.338601,10.2,0.004878048,,,,,,0.499,0.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01009437,,,,Moderate
2017-02-16,,1.0,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-08,12:00,0.3,,8.1,6.8,,,,,,,,135.1,,11.0,,,11.5,,,,,,,,46.5,,5.4,,,,,,,,,,,,,,,,,,,,,,,,Moderate
1958-03-11,,0.3,,,,,,,0.181,,,,,,,101.0,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,Good
2023-08-21,12:00,0.0,0.05,7.9,24.5,,,498.0,3.400005508,6.4,0.02743902,77.0,218.0,2.0,10.0,,3.0,17.1,,,4e-05,0.00036,0.002,,,69.4,,10.8,2e-05,12.6,,2.2,0.01,0.05,0.005,0.00695,,,,,,,0.0005,,,,,0.0310596,,0.001,0.00411225,Moderate
2015-06-16,12:00,0.0,,8.3,21.1,,,2330.0,6.4953152628,2.82,7.46021984295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02001480624,,,,Poor
2017-05-16,12:00,0.3,0.1502,7.9,30.3,,,360.3,0.1032,6.12,0.005,81.1,179.39,2.0,56.0,,0.869,,0.907,15.84,0.0002,0.00154,0.00088,230.592,0.00139,,4.1,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0002,0.283,Moderate
2011-11-01,00:00,0.3,,6.64,25.5,0.0,,71.0,0.504432,6.63,0.0138,80.3101,24.15,0.19,,26.779,,,,,,,,,,,,,,,21.95,,,,,,,,,,,,,,,,,,0.518232,,,Good
2023-07-10,12:00,0.3,0.117,8.2,,,,1823.0,0.576524636,8.5,0.0112195104,,,2.8,,,,532.17,,25.1,,,,,,,,,,,103.7,,,,,,,,,,,,,,,,,,,,,Moderate
2020-12-08,00:00,0.3,,7.7,,,,650.0,0.56,0.0,,,,33.0,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,1.55,,,,Poor
1990-04-26,08:39,0.3,0.08,8.1,,0.01,0.03,1790.0,0.1,7.7,0.01,97.0,,3.0,,225.0,,,,,,,,1220.0,,,36.0,,,,,,,,,,,,,,,,,,,,,,0.1,,,Moderate
2016-08-10,12:00,3.5,,8.6,33.7,,,5884.0,,5.1,,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
1972-02-01,,0.3,0.15,,,,,,0.7,11.2,,77.0,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2020-02-07,00:00,0.3,,7.4,,,,359.0,0.33,5.5,,,,1.0,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,0.84,,,,Moderate
1975-01-17,12:00,0.0,,4.68,,,,,0.020090326,,,,,,,,,0.6,,,,,,,,1.27,,0.25,,0.58,,0.07,,,,,,,,,,,,,,,,,,,,Moderate
2010-12-16,12:00,0.3,,8.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2021-07-12,00:00,0.3,0.04,7.985,23.0,,,277.0,1.79,7.3,0.05,,111.0,0.89,,127.0,,,,5.0,,,,169.12,,,5.4,,,,55.1,,,,,,,,,,,,,,,,,,1.84,,,Moderate
2011-07-25,12:00,0.3,,7.3,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
2011-06-21,12:00,0.3,,7.44,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
2005-05-31,10:00,0.3,0.22,8.3,,0.023,0.036,726.0,2.1790000000000003,8.2,0.011,92.0,,,,226.0,3.65,,,,,,,497.0,,,55.0,,,,,,,,,,,,,,,,,,,,,,2.19,,,Poor
2019-01-23,,34.0,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-02,12:00,0.0,0.004,8.2,,,,274.0,0.465689242,10.7,0.003963414,,,,,,0.65,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00388245,,,,Good
2020-03-05,12:00,0.0,0.108,7.9,,,,314.0,1.799422457143,11.05,0.021036582,97.2,160.0,2.0,3.0,73.019078,,8.9,,6.0,,,,,,46.0,,11.0,,7.0,,1.5,,,,,,,,,,,0.15,,,,,0.1397682,,,0.0016449,Moderate
2018-05-29,12:00,0.0,0.062,8.54,22.4,,,710.0,0.17987839524,9.4,0.017223594805,107.0,410.0,2.0,5.0,330.0,17.7,16.6,18.5,,3.1e-05,0.001,0.0008,,0.00066,121.0,,25.0,5.4e-05,10.5,,4.2,0.003,,0.0016,,,1.58,,,,,,,,,,0.12501489,,0.002,,Moderate
2022-11-14,12:00,0.3,0.28,8.2,11.5,,,1594.0,2.098456839309,9.8,,90.0,389.0,2.0,,,1.7,382.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023014523196,,,,Moderate
2003-10-22,,0.3,,,,,,,1.8510188,,0.00152439,,,,,,,15.0,,,,,,,,,,,,,,1.7,,7.3e-05,,2.4e-05,,,,,,,,,,,,,,,,Moderate
2019-10-17,00:00,0.3,,7.6,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
2017-04-11,,0.5,0.32,,,,,,1.37923474,8.42,0.0185670702,79.0,,,5.0,290.0,5.1,1670.0,,,6.36e-05,0.000108,0.000849,5.0,,160.0,,120.0,,990.0,,43.0,0.015,2.49e-07,0.00277,0.0133,0.000373,,0.0347,,0.416,0.0015,,1.01,0.0256,,,0.055596684,,0.00351,,Moderate
2012-11-20,12:00,0.3,,8.0,9.8,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
2011-12-06,12:00,0.0,0.011,7.7,8.3,,0.006,295.0,0.65011392,8.0,0.002134146,72.0,,,,,1.12,9.5,,,,,,,,44.9,,6.03,,6.74,,1.49,,,,,,,,,,,,,,,,0.00310596,,,,Good
2012-09-28,12:00,0.3,,8.51,15.44,,,,,,,,,,9.8,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor
2015-06-06,,1.0,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-22,12:00,0.3,,7.0,9.6,,,1354.0,0.00790069,,0.00152439,,,,,,,94.0,,,,,,,,,,,,,,4.8,,0.018,,0.00026,,,,,,,,,,,,0.08774337,,,,Good
2013-04-22,,0.3,0.315,,,0.076,0.082,,1.338,11.5,0.01,98.0,,,,225.0,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,Poor
1990-10-29,,0.3,0.02,,,,,,18.961656,,0.00304878,,,,,1.2,,35.0,,,,,,290.0,,33.0,,3.2,,10.0,,14.0,,3e-05,,0.00018,,,,,,,,,,,,0.0077649,,,,Moderate
2017-10-01,,0.3,,,,,,616.4874551971,11.060966,9.6,0.001829268,,,,,,,19.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077649,,,,Moderate
2015-11-26,12:00,0.3,0.199,8.5,27.8,,,466.0,0.131,4.68,0.005,59.4,228.0,2.0,15.0,,2.116,,2.167,18.03,0.0002,0.0078,0.00088,298.24,0.00139,,10.1,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0057,0.064,Moderate
2010-08-23,12:00,0.3,,8.02,21.74,,,,,,,,140.0,,3.4,147.0,2.8,11.0,,,,,,,,51.0,,2.7,,7.3,,2.0,,,,,,,,,,,,,,,,,,,,Moderate
2018-12-18,12:00,0.5,1.529111,8.7,21.1,,,3460.0,0.044379,3.2,0.004345,45.9,1159.42,27.9,12.5,,117.2,,151.8,290.38,0.0002,0.00154,0.0036,2214.4,0.0197,,7.4,,8.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,0.0043,0.233153,Poor
2014-04-09,12:00,0.0,,7.5,11.3,,,161.001,,,0.004005487164,105.8,55.0,1.0,,34.16,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.0200023824,3.8,,,Moderate
2012-05-21,12:00,0.3,,7.2,13.9,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good
